timestamp,event_type,username,source_ip,raw_line
Jul 06 00:01:27,failed_password,arun,198.51.100.24,Jul 06 00:01:27 backup01 sshd[7878]: Failed password for arun from 198.51.100.24 port 47182 ssh2
Jul 06 00:04:24,accepted_password,ops,198.51.100.26,Jul 06 00:04:24 backup01 sshd[6744]: Accepted password for ops from 198.51.100.26 port 33412 ssh2
Jul 06 00:22:09,failed_password,backup,192.0.2.10,Jul 06 00:22:09 backup01 sshd[3178]: Failed password for backup from 192.0.2.10 port 62252 ssh2
Jul 06 00:24:58,failed_password,backup,198.51.100.23,Jul 06 00:24:58 backup01 sshd[1801]: Failed password for backup from 198.51.100.23 port 37323 ssh2
Jul 06 00:25:23,invalid_user,postgres,192.0.2.12,Jul 06 00:25:23 backup01 sshd[3896]: Invalid user postgres from 192.0.2.12 port 57881
Jul 06 00:38:13,failed_password,ops,198.51.100.24,Jul 06 00:38:13 backup01 sshd[9631]: Failed password for ops from 198.51.100.24 port 39230 ssh2
Jul 06 00:44:35,invalid_user,oracle,192.0.2.31,Jul 06 00:44:35 backup01 sshd[6454]: Invalid user oracle from 192.0.2.31 port 41718
Jul 06 00:49:41,accepted_password,backup,192.0.2.12,Jul 06 00:49:41 backup01 sshd[5895]: Accepted password for backup from 192.0.2.12 port 38101 ssh2
Jul 06 00:49:51,accepted_password,backup,192.0.2.31,Jul 06 00:49:51 backup01 sshd[5814]: Accepted password for backup from 192.0.2.31 port 60641 ssh2
Jul 06 01:20:38,accepted_password,backup,198.51.100.24,Jul 06 01:20:38 backup01 sshd[5550]: Accepted password for backup from 198.51.100.24 port 51692 ssh2
Jul 06 01:21:46,accepted_password,backup,192.0.2.10,Jul 06 01:21:46 backup01 sshd[7643]: Accepted password for backup from 192.0.2.10 port 38675 ssh2
Jul 06 01:22:26,accepted_password,backup,198.51.100.26,Jul 06 01:22:26 backup01 sshd[7108]: Accepted password for backup from 198.51.100.26 port 32000 ssh2
Jul 06 01:22:52,accepted_password,ops,198.51.100.25,Jul 06 01:22:52 backup01 sshd[3499]: Accepted password for ops from 198.51.100.25 port 34459 ssh2
Jul 06 01:29:57,failed_password,arun,198.51.100.24,Jul 06 01:29:57 backup01 sshd[4088]: Failed password for arun from 198.51.100.24 port 39847 ssh2
Jul 06 01:35:51,failed_password,ops,198.51.100.25,Jul 06 01:35:51 backup01 sshd[9609]: Failed password for ops from 198.51.100.25 port 56843 ssh2
Jul 06 01:36:41,failed_password,j.maguire,192.0.2.21,Jul 06 01:36:41 backup01 sshd[2685]: Failed password for j.maguire from 192.0.2.21 port 60501 ssh2
Jul 06 01:41:09,accepted_password,j.maguire,192.0.2.40,Jul 06 01:41:09 backup01 sshd[9303]: Accepted password for j.maguire from 192.0.2.40 port 62959 ssh2
Jul 06 01:44:47,accepted_password,ops,192.0.2.40,Jul 06 01:44:47 backup01 sshd[8047]: Accepted password for ops from 192.0.2.40 port 41246 ssh2
Jul 06 01:47:53,invalid_user,ubuntu,192.0.2.31,Jul 06 01:47:53 backup01 sshd[5418]: Invalid user ubuntu from 192.0.2.31 port 41465
Jul 06 01:53:23,invalid_user,oracle,192.0.2.40,Jul 06 01:53:23 backup01 sshd[8330]: Invalid user oracle from 192.0.2.40 port 59697
Jul 06 01:57:56,accepted_password,ops,192.0.2.11,Jul 06 01:57:56 backup01 sshd[6860]: Accepted password for ops from 192.0.2.11 port 52676 ssh2
Jul 06 02:05:07,failed_password,j.singer,192.0.2.20,Jul 06 02:05:07 backup01 sshd[8208]: Failed password for j.singer from 192.0.2.20 port 41265 ssh2
Jul 06 02:21:14,accepted_password,arun,198.51.100.26,Jul 06 02:21:14 backup01 sshd[8502]: Accepted password for arun from 198.51.100.26 port 34566 ssh2
Jul 06 02:33:22,invalid_user,sysadmin,192.0.2.31,Jul 06 02:33:22 backup01 sshd[3146]: Invalid user sysadmin from 192.0.2.31 port 34355
Jul 06 02:33:37,invalid_user,support,198.51.100.26,Jul 06 02:33:37 backup01 sshd[9279]: Invalid user support from 198.51.100.26 port 59364
Jul 06 02:56:33,accepted_password,ops,192.0.2.21,Jul 06 02:56:33 backup01 sshd[8638]: Accepted password for ops from 192.0.2.21 port 43271 ssh2
Jul 06 03:11:36,failed_password,j.maguire,198.51.100.23,Jul 06 03:11:36 backup01 sshd[5185]: Failed password for j.maguire from 198.51.100.23 port 64101 ssh2
Jul 06 03:14:25,failed_password,arun,192.0.2.11,Jul 06 03:14:25 backup01 sshd[1244]: Failed password for arun from 192.0.2.11 port 38628 ssh2
Jul 06 03:14:29,invalid_user,ftp,192.0.2.11,Jul 06 03:14:29 backup01 sshd[5109]: Invalid user ftp from 192.0.2.11 port 33885
Jul 06 03:18:37,accepted_password,j.maguire,192.0.2.11,Jul 06 03:18:37 backup01 sshd[8085]: Accepted password for j.maguire from 192.0.2.11 port 43554 ssh2
Jul 06 03:20:07,invalid_user,service,192.0.2.12,Jul 06 03:20:07 backup01 sshd[5846]: Invalid user service from 192.0.2.12 port 40907
Jul 06 03:22:07,failed_password,arun,192.0.2.10,Jul 06 03:22:07 backup01 sshd[7011]: Failed password for arun from 192.0.2.10 port 64310 ssh2
Jul 06 03:28:18,failed_password,backup,192.0.2.21,Jul 06 03:28:18 backup01 sshd[7923]: Failed password for backup from 192.0.2.21 port 41338 ssh2
Jul 06 03:40:05,accepted_password,ops,192.0.2.40,Jul 06 03:40:05 backup01 sshd[4207]: Accepted password for ops from 192.0.2.40 port 31464 ssh2
Jul 06 03:42:51,failed_password,j.singer,192.0.2.31,Jul 06 03:42:51 backup01 sshd[7206]: Failed password for j.singer from 192.0.2.31 port 60064 ssh2
Jul 06 03:53:32,accepted_password,ops,192.0.2.12,Jul 06 03:53:32 backup01 sshd[5098]: Accepted password for ops from 192.0.2.12 port 53526 ssh2
Jul 06 04:26:19,accepted_password,j.singer,198.51.100.23,Jul 06 04:26:19 backup01 sshd[4307]: Accepted password for j.singer from 198.51.100.23 port 53396 ssh2
Jul 06 04:33:27,accepted_password,ops,192.0.2.21,Jul 06 04:33:27 backup01 sshd[6639]: Accepted password for ops from 192.0.2.21 port 49564 ssh2
Jul 06 04:34:23,failed_password,j.maguire,192.0.2.31,Jul 06 04:34:23 backup01 sshd[8535]: Failed password for j.maguire from 192.0.2.31 port 55948 ssh2
Jul 06 04:34:31,invalid_user,sysadmin,198.51.100.25,Jul 06 04:34:31 backup01 sshd[6491]: Invalid user sysadmin from 198.51.100.25 port 62866
Jul 06 04:48:40,failed_password,j.singer,198.51.100.25,Jul 06 04:48:40 backup01 sshd[6701]: Failed password for j.singer from 198.51.100.25 port 58405 ssh2
Jul 06 04:53:00,accepted_password,j.maguire,192.0.2.40,Jul 06 04:53:00 backup01 sshd[6740]: Accepted password for j.maguire from 192.0.2.40 port 40415 ssh2
Jul 06 05:09:01,accepted_password,ops,192.0.2.12,Jul 06 05:09:01 backup01 sshd[3892]: Accepted password for ops from 192.0.2.12 port 48028 ssh2
Jul 06 05:34:30,invalid_user,test,192.0.2.11,Jul 06 05:34:30 backup01 sshd[3944]: Invalid user test from 192.0.2.11 port 44610
Jul 06 05:45:15,failed_password,j.maguire,198.51.100.25,Jul 06 05:45:15 backup01 sshd[5303]: Failed password for j.maguire from 198.51.100.25 port 41643 ssh2
Jul 06 05:46:16,accepted_password,backup,192.0.2.10,Jul 06 05:46:16 backup01 sshd[7503]: Accepted password for backup from 192.0.2.10 port 56401 ssh2
Jul 06 05:53:21,accepted_password,j.maguire,192.0.2.40,Jul 06 05:53:21 backup01 sshd[4737]: Accepted password for j.maguire from 192.0.2.40 port 44612 ssh2
Jul 06 05:57:03,invalid_user,administrator,198.51.100.25,Jul 06 05:57:03 backup01 sshd[2064]: Invalid user administrator from 198.51.100.25 port 37947
Jul 06 06:20:01,failed_password,ops,198.51.100.25,Jul 06 06:20:01 backup01 sshd[5873]: Failed password for ops from 198.51.100.25 port 39968 ssh2
Jul 06 06:20:02,accepted_password,ops,198.51.100.23,Jul 06 06:20:02 backup01 sshd[4160]: Accepted password for ops from 198.51.100.23 port 42883 ssh2
Jul 06 06:23:09,accepted_password,ops,192.0.2.21,Jul 06 06:23:09 backup01 sshd[2374]: Accepted password for ops from 192.0.2.21 port 61630 ssh2
Jul 06 06:28:11,invalid_user,admin,192.0.2.12,Jul 06 06:28:11 backup01 sshd[3264]: Invalid user admin from 192.0.2.12 port 50593
Jul 06 06:35:53,accepted_password,j.singer,198.51.100.23,Jul 06 06:35:53 backup01 sshd[2207]: Accepted password for j.singer from 198.51.100.23 port 42934 ssh2
Jul 06 06:36:55,accepted_password,j.maguire,198.51.100.23,Jul 06 06:36:55 backup01 sshd[7038]: Accepted password for j.maguire from 198.51.100.23 port 60228 ssh2
Jul 06 06:51:27,accepted_password,backup,192.0.2.30,Jul 06 06:51:27 backup01 sshd[1988]: Accepted password for backup from 192.0.2.30 port 42607 ssh2
Jul 06 06:53:48,accepted_password,arun,192.0.2.12,Jul 06 06:53:48 backup01 sshd[4831]: Accepted password for arun from 192.0.2.12 port 31967 ssh2
Jul 06 06:56:33,accepted_password,j.singer,198.51.100.24,Jul 06 06:56:33 backup01 sshd[3884]: Accepted password for j.singer from 198.51.100.24 port 41026 ssh2
Jul 06 07:04:17,failed_password,j.maguire,192.0.2.31,Jul 06 07:04:17 backup01 sshd[5153]: Failed password for j.maguire from 192.0.2.31 port 30330 ssh2
Jul 06 07:04:35,invalid_user,sysadmin,192.0.2.12,Jul 06 07:04:35 backup01 sshd[8834]: Invalid user sysadmin from 192.0.2.12 port 45591
Jul 06 07:09:25,accepted_password,ops,192.0.2.20,Jul 06 07:09:25 backup01 sshd[9458]: Accepted password for ops from 192.0.2.20 port 33845 ssh2
Jul 06 07:14:35,failed_password,ops,198.51.100.24,Jul 06 07:14:35 backup01 sshd[8739]: Failed password for ops from 198.51.100.24 port 50585 ssh2
Jul 06 07:20:44,failed_password,j.singer,192.0.2.30,Jul 06 07:20:44 backup01 sshd[8001]: Failed password for j.singer from 192.0.2.30 port 58435 ssh2
Jul 06 07:27:59,accepted_password,j.singer,192.0.2.10,Jul 06 07:27:59 backup01 sshd[1645]: Accepted password for j.singer from 192.0.2.10 port 53989 ssh2
Jul 06 07:29:21,invalid_user,postgres,198.51.100.23,Jul 06 07:29:21 backup01 sshd[3837]: Invalid user postgres from 198.51.100.23 port 35018
Jul 06 07:36:31,accepted_password,j.maguire,192.0.2.11,Jul 06 07:36:31 backup01 sshd[7204]: Accepted password for j.maguire from 192.0.2.11 port 49321 ssh2
Jul 06 07:43:11,invalid_user,manager,198.51.100.26,Jul 06 07:43:11 backup01 sshd[1568]: Invalid user manager from 198.51.100.26 port 54902
Jul 06 07:48:31,invalid_user,oracle,198.51.100.25,Jul 06 07:48:31 backup01 sshd[9649]: Invalid user oracle from 198.51.100.25 port 37708
Jul 06 07:49:56,accepted_password,j.singer,198.51.100.25,Jul 06 07:49:56 backup01 sshd[7388]: Accepted password for j.singer from 198.51.100.25 port 37800 ssh2
Jul 06 07:57:01,accepted_password,j.singer,198.51.100.26,Jul 06 07:57:01 backup01 sshd[7239]: Accepted password for j.singer from 198.51.100.26 port 31946 ssh2
Jul 06 08:01:03,failed_password,backup,198.51.100.25,Jul 06 08:01:03 backup01 sshd[5677]: Failed password for backup from 198.51.100.25 port 56096 ssh2
Jul 06 08:03:10,failed_password,arun,192.0.2.30,Jul 06 08:03:10 backup01 sshd[4217]: Failed password for arun from 192.0.2.30 port 37836 ssh2
Jul 06 08:05:29,accepted_password,arun,192.0.2.40,Jul 06 08:05:29 backup01 sshd[3306]: Accepted password for arun from 192.0.2.40 port 56271 ssh2
Jul 06 08:07:38,accepted_password,j.singer,198.51.100.24,Jul 06 08:07:38 backup01 sshd[5585]: Accepted password for j.singer from 198.51.100.24 port 45979 ssh2
Jul 06 08:08:11,accepted_password,backup,192.0.2.10,Jul 06 08:08:11 backup01 sshd[2254]: Accepted password for backup from 192.0.2.10 port 42003 ssh2
